Assets,located_image,base_image,top_left_X,top_left_Y,bottom_right_X,top_right_Y,height,width,total_image_height,total_image_width
9155a2e9b6ccf3449b2403031ed99468,engagement_instruction.png,_preview.png,41,375,566,470,95,525,500,600
adunit-j-j-e-commerce-v1-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
919ef5d6de221daf94537e4d87e98859,engagement_instruction.png,_preview.png,101,93,499,178,85,398,500,600
adunit-showtime-dexter-sensory-plus-video-canvas-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
61dff450d1f6264618e7532f9e6c21dd,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
2845ecbabd12a9d2d17283664c06fa7d,engagement_instruction.png,_preview.png,0,0,600,900,900,600,900,600
adunit-jaguar-nameplate-refresh-rc-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-find-the-fox-magnifying-glass-sg-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-nutrella-barrilito-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
6b7ddb8af0b0d4b5e042ac9469300177,engagement_instruction.png,_preview.png,60,185,526,262,77,466,900,600
23bd30ca17aae979afebc6f4e5f1fdd3,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
5e3fbc83a60c730e234618fe5483800e,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
45bc44f6b1529331c282ba1f72e13b3c,engagement_instructions.png,_preview.png,137,393,461,478,85,324,500,600
adunit-western-union-kroger-scrub-auto-engagement-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
4342ea931e3e9ae5c51aed541a61465d,engagement_animation.png,_preview.png,17,46,412,343,297,395,900,600
295e3365c5ed156b3ae4c8f3194add31,engagement_instruction.png,_preview.png,0,0,600,900,900,600,900,600
adunit-femsa-coca-cola-christmas-village-v3-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-runnings-maps-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
8932a4d6d34de7718182c18cc30779e8,engagement_instruction.png,_preview.png,60,185,526,262,77,466,900,600
adunit-hennessy-vsop-refik-anadol-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-kitkat-golden-break-gamify-arabic-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-cpe-uk-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
